GreedyAgent,1,2.2,7.20E-03,
BetterGreedyAgent,1,46,2.98E-03,
MinimaxAgent,2,49.4,2.75E-02,
MinimaxAgent,3,40.1,2.03E-01,
MinimaxAgent,4,46.1,1.71E+00,
AlphaBetaAgent,2,40,1.01E-02,
AlphaBetaAgent,3,37.2,4.88E-02,
AlphaBetaAgent,4,45.7,2.39E-01,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 ,d=1,d=2,d=3,d=4
GreedyAgent,2.2,,,
BetterGreedyAgent,46,,,
MinimaxAgent,,49.4,40.1,46.1
AlphaBetaAgent,,40,37.2,45.7
,,,,
,,,,
,,,,
 ,d=1,d=2,d=3,d=4
GreedyAgent,7.20E-03,,,
BetterGreedyAgent,2.98E-03,,,
MinimaxAgent,,2.75E-02,2.03E-01,1.71E+00
AlphaBetaAgent,,1.01E-02,4.88E-02,2.39E-01
